"SK_CONSTRUTOR","SK_PILOTO","SK_GRANDE_PREMIO","SK_DATA","SK_STATUS","POSICAO_TREINO","POSICAO_GP","PTS_PILOTO"
10,10,18,786,3,18,"\N",0
11,11,18,786,7,18,"\N",0
6,12,18,786,8,18,"\N",0
2,13,18,786,5,18,"\N",0
1,14,18,786,4,18,"\N",0
7,15,18,786,10,18,"\N",0
9,16,18,786,9,18,"\N",0
4,17,18,786,4,18,"\N",0
11,18,18,786,4,18,"\N",0
10,19,18,786,4,18,"\N",0
3,20,18,786,4,18,"\N",0
8,21,18,786,4,18,"\N",0
5,22,18,786,2,18,"\N",0
1,1,18,786,1,19,"1",10
2,2,18,786,1,19,"2",8
3,3,18,786,1,19,"3",6
4,4,18,786,1,19,"4",5
5,5,18,786,1,19,"5",4
6,6,18,786,11,19,"6",3
7,7,18,786,5,19,"7",2
8,8,18,786,5,19,"8",1
9,9,18,786,4,19,"\N",0
10,10,18,786,3,19,"\N",0
11,11,18,786,7,19,"\N",0
6,12,18,786,8,19,"\N",0
2,13,18,786,5,19,"\N",0
1,14,18,786,4,19,"\N",0
7,15,18,786,10,19,"\N",0
9,16,18,786,9,19,"\N",0
4,17,18,786,4,19,"\N",0
11,18,18,786,4,19,"\N",0
10,19,18,786,4,19,"\N",0
3,20,18,786,4,19,"\N",0
8,21,18,786,4,19,"\N",0
5,22,18,786,2,19,"\N",0
1,1,18,786,1,20,"1",10
2,2,18,786,1,20,"2",8
3,3,18,786,1,20,"3",6
4,4,18,786,1,20,"4",5
5,5,18,786,1,20,"5",4
6,6,18,786,11,20,"6",3
7,7,18,786,5,20,"7",2
8,8,18,786,5,20,"8",1
9,9,18,786,4,20,"\N",0
10,10,18,786,3,20,"\N",0
11,11,18,786,7,20,"\N",0
6,12,18,786,8,20,"\N",0
2,13,18,786,5,20,"\N",0
1,14,18,786,4,20,"\N",0
7,15,18,786,10,20,"\N",0
9,16,18,786,9,20,"\N",0
4,17,18,786,4,20,"\N",0
11,18,18,786,4,20,"\N",0
10,19,18,786,4,20,"\N",0
3,20,18,786,4,20,"\N",0
8,21,18,786,4,20,"\N",0
5,22,18,786,2,20,"\N",0
1,1,18,786,1,21,"1",10
2,2,18,786,1,21,"2",8
3,3,18,786,1,21,"3",6
4,4,18,786,1,21,"4",5
5,5,18,786,1,21,"5",4
6,6,18,786,11,21,"6",3
7,7,18,786,5,21,"7",2
8,8,18,786,5,21,"8",1
9,9,18,786,4,21,"\N",0
10,10,18,786,3,21,"\N",0
11,11,18,786,7,21,"\N",0
6,12,18,786,8,21,"\N",0
2,13,18,786,5,21,"\N",0
1,14,18,786,4,21,"\N",0
7,15,18,786,10,21,"\N",0
9,16,18,786,9,21,"\N",0
4,17,18,786,4,21,"\N",0
11,18,18,786,4,21,"\N",0
10,19,18,786,4,21,"\N",0
3,20,18,786,4,21,"\N",0
8,21,18,786,4,21,"\N",0
5,22,18,786,2,21,"\N",0
1,1,18,786,1,22,"1",10
2,2,18,786,1,22,"2",8
3,3,18,786,1,22,"3",6
4,4,18,786,1,22,"4",5
5,5,18,786,1,22,"5",4
6,6,18,786,11,22,"6",3
7,7,18,786,5,22,"7",2
8,8,18,786,5,22,"8",1
9,9,18,786,4,22,"\N",0
10,10,18,786,3,22,"\N",0
11,11,18,786,7,22,"\N",0
6,12,18,786,8,22,"\N",0
2,13,18,786,5,22,"\N",0
1,14,18,786,4,22,"\N",0
7,15,18,786,10,22,"\N",0
9,16,18,786,9,22,"\N",0
4,17,18,786,4,22,"\N",0
11,18,18,786,4,22,"\N",0
10,19,18,786,4,22,"\N",0
3,20,18,786,4,22,"\N",0
8,21,18,786,4,22,"\N",0
5,22,18,786,2,22,"\N",0
6,8,19,787,1,1,"1",10
2,9,19,787,1,1,"2",8
1,5,19,787,1,1,"3",6
7,15,19,787,1,1,"4",5
9,1,19,787,1,1,"5",4
3,2,19,787,1,1,"6",3
4,17,19,787,1,1,"7",2
11,4,19,787,1,1,"8",1
10,14,19,787,1,1,"9",0
5,18,19,787,1,1,"10",0
8,12,19,787,1,1,"11",0
6,21,19,787,11,1,"12",0
1,22,19,787,11,1,"13",0
2,3,19,787,11,1,"14",0
9,19,19,787,11,1,"15",0
11,11,19,787,12,1,"16",0
3,6,19,787,12,1,"17",0
7,20,19,787,5,1,"\N",0
10,13,19,787,20,1,"\N",0
8,16,19,787,9,1,"\N",0
4,10,19,787,4,1,"\N",0
5,7,19,787,20,1,"\N",0
6,8,19,787,1,2,"1",10
2,9,19,787,1,2,"2",8
1,5,19,787,1,2,"3",6
7,15,19,787,1,2,"4",5
9,1,19,787,1,2,"5",4
3,2,19,787,1,2,"6",3
4,17,19,787,1,2,"7",2
11,4,19,787,1,2,"8",1
10,14,19,787,1,2,"9",0
5,18,19,787,1,2,"10",0
8,12,19,787,1,2,"11",0
6,21,19,787,11,2,"12",0
1,22,19,787,11,2,"13",0
2,3,19,787,11,2,"14",0
9,19,19,787,11,2,"15",0
11,11,19,787,12,2,"16",0
3,6,19,787,12,2,"17",0
7,20,19,787,5,2,"\N",0
10,13,19,787,20,2,"\N",0
8,16,19,787,9,2,"\N",0
4,10,19,787,4,2,"\N",0
5,7,19,787,20,2,"\N",0
6,8,19,787,1,3,"1",10
2,9,19,787,1,3,"2",8
1,5,19,787,1,3,"3",6
7,15,19,787,1,3,"4",5
9,1,19,787,1,3,"5",4
3,2,19,787,1,3,"6",3
4,17,19,787,1,3,"7",2
11,4,19,787,1,3,"8",1
10,14,19,787,1,3,"9",0
5,18,19,787,1,3,"10",0
8,12,19,787,1,3,"11",0
6,21,19,787,11,3,"12",0
1,22,19,787,11,3,"13",0
2,3,19,787,11,3,"14",0
9,19,19,787,11,3,"15",0
11,11,19,787,12,3,"16",0
3,6,19,787,12,3,"17",0
7,20,19,787,5,3,"\N",0
10,13,19,787,20,3,"\N",0
8,16,19,787,9,3,"\N",0
4,10,19,787,4,3,"\N",0
5,7,19,787,20,3,"\N",0
6,8,19,787,1,4,"1",10
2,9,19,787,1,4,"2",8
1,5,19,787,1,4,"3",6
7,15,19,787,1,4,"4",5
9,1,19,787,1,4,"5",4
3,2,19,787,1,4,"6",3
4,17,19,787,1,4,"7",2
11,4,19,787,1,4,"8",1
10,14,19,787,1,4,"9",0
5,18,19,787,1,4,"10",0
8,12,19,787,1,4,"11",0
6,21,19,787,11,4,"12",0
1,22,19,787,11,4,"13",0
2,3,19,787,11,4,"14",0
9,19,19,787,11,4,"15",0
11,11,19,787,12,4,"16",0
3,6,19,787,12,4,"17",0
7,20,19,787,5,4,"\N",0
10,13,19,787,20,4,"\N",0
8,16,19,787,9,4,"\N",0
4,10,19,787,4,4,"\N",0
5,7,19,787,20,4,"\N",0
6,8,19,787,1,5,"1",10
2,9,19,787,1,5,"2",8
1,5,19,787,1,5,"3",6
7,15,19,787,1,5,"4",5
9,1,19,787,1,5,"5",4
3,2,19,787,1,5,"6",3
4,17,19,787,1,5,"7",2
11,4,19,787,1,5,"8",1
10,14,19,787,1,5,"9",0
5,18,19,787,1,5,"10",0
8,12,19,787,1,5,"11",0
6,21,19,787,11,5,"12",0
1,22,19,787,11,5,"13",0
2,3,19,787,11,5,"14",0
9,19,19,787,11,5,"15",0
11,11,19,787,12,5,"16",0
3,6,19,787,12,5,"17",0
7,20,19,787,5,5,"\N",0
10,13,19,787,20,5,"\N",0
8,16,19,787,9,5,"\N",0
4,10,19,787,4,5,"\N",0
5,7,19,787,20,5,"\N",0
6,8,19,787,1,6,"1",10
2,9,19,787,1,6,"2",8
1,5,19,787,1,6,"3",6
7,15,19,787,1,6,"4",5
9,1,19,787,1,6,"5",4
3,2,19,787,1,6,"6",3
4,17,19,787,1,6,"7",2
11,4,19,787,1,6,"8",1
10,14,19,787,1,6,"9",0
5,18,19,787,1,6,"10",0
8,12,19,787,1,6,"11",0
6,21,19,787,11,6,"12",0
1,22,19,787,11,6,"13",0
2,3,19,787,11,6,"14",0
9,19,19,787,11,6,"15",0
11,11,19,787,12,6,"16",0
3,6,19,787,12,6,"17",0
7,20,19,787,5,6,"\N",0
10,13,19,787,20,6,"\N",0
8,16,19,787,9,6,"\N",0
4,10,19,787,4,6,"\N",0
5,7,19,787,20,6,"\N",0
6,8,19,787,1,7,"1",10
2,9,19,787,1,7,"2",8
1,5,19,787,1,7,"3",6
7,15,19,787,1,7,"4",5
9,1,19,787,1,7,"5",4
3,2,19,787,1,7,"6",3
4,17,19,787,1,7,"7",2
11,4,19,787,1,7,"8",1
10,14,19,787,1,7,"9",0
5,18,19,787,1,7,"10",0
8,12,19,787,1,7,"11",0
6,21,19,787,11,7,"12",0
1,22,19,787,11,7,"13",0
2,3,19,787,11,7,"14",0
9,19,19,787,11,7,"15",0
11,11,19,787,12,7,"16",0
3,6,19,787,12,7,"17",0
7,20,19,787,5,7,"\N",0
10,13,19,787,20,7,"\N",0
8,16,19,787,9,7,"\N",0
4,10,19,787,4,7,"\N",0
5,7,19,787,20,7,"\N",0
6,8,19,787,1,8,"1",10
2,9,19,787,1,8,"2",8
1,5,19,787,1,8,"3",6
7,15,19,787,1,8,"4",5
9,1,19,787,1,8,"5",4
3,2,19,787,1,8,"6",3
4,17,19,787,1,8,"7",2
11,4,19,787,1,8,"8",1
10,14,19,787,1,8,"9",0
5,18,19,787,1,8,"10",0
8,12,19,787,1,8,"11",0
6,21,19,787,11,8,"12",0
1,22,19,787,11,8,"13",0
2,3,19,787,11,8,"14",0
9,19,19,787,11,8,"15",0
11,11,19,787,12,8,"16",0
3,6,19,787,12,8,"17",0
7,20,19,787,5,8,"\N",0
10,13,19,787,20,8,"\N",0
8,16,19,787,9,8,"\N",0
4,10,19,787,4,8,"\N",0
5,7,19,787,20,8,"\N",0
6,8,19,787,1,9,"1",10
2,9,19,787,1,9,"2",8
1,5,19,787,1,9,"3",6
7,15,19,787,1,9,"4",5
9,1,19,787,1,9,"5",4
3,2,19,787,1,9,"6",3
4,17,19,787,1,9,"7",2
11,4,19,787,1,9,"8",1
10,14,19,787,1,9,"9",0
5,18,19,787,1,9,"10",0
8,12,19,787,1,9,"11",0
6,21,19,787,11,9,"12",0
1,22,19,787,11,9,"13",0
2,3,19,787,11,9,"14",0
9,19,19,787,11,9,"15",0
11,11,19,787,12,9,"16",0
3,6,19,787,12,9,"17",0
7,20,19,787,5,9,"\N",0
10,13,19,787,20,9,"\N",0
8,16,19,787,9,9,"\N",0
4,10,19,787,4,9,"\N",0
5,7,19,787,20,9,"\N",0
6,8,19,787,1,10,"1",10
2,9,19,787,1,10,"2",8
1,5,19,787,1,10,"3",6
7,15,19,787,1,10,"4",5
9,1,19,787,1,10,"5",4
3,2,19,787,1,10,"6",3
4,17,19,787,1,10,"7",2
11,4,19,787,1,10,"8",1
10,14,19,787,1,10,"9",0
5,18,19,787,1,10,"10",0
8,12,19,787,1,10,"11",0
6,21,19,787,11,10,"12",0
1,22,19,787,11,10,"13",0
2,3,19,787,11,10,"14",0
9,19,19,787,11,10,"15",0
11,11,19,787,12,10,"16",0
3,6,19,787,12,10,"17",0
7,20,19,787,5,10,"\N",0
10,13,19,787,20,10,"\N",0
8,16,19,787,9,10,"\N",0
4,10,19,787,4,10,"\N",0
5,7,19,787,20,10,"\N",0
6,8,19,787,1,11,"1",10
2,9,19,787,1,11,"2",8
1,5,19,787,1,11,"3",6
7,15,19,787,1,11,"4",5
9,1,19,787,1,11,"5",4
3,2,19,787,1,11,"6",3
4,17,19,787,1,11,"7",2
11,4,19,787,1,11,"8",1
10,14,19,787,1,11,"9",0
5,18,19,787,1,11,"10",0
8,12,19,787,1,11,"11",0
6,21,19,787,11,11,"12",0
1,22,19,787,11,11,"13",0
2,3,19,787,11,11,"14",0
9,19,19,787,11,11,"15",0
11,11,19,787,12,11,"16",0
3,6,19,787,12,11,"17",0
7,20,19,787,5,11,"\N",0
10,13,19,787,20,11,"\N",0
8,16,19,787,9,11,"\N",0
4,10,19,787,4,11,"\N",0
5,7,19,787,20,11,"\N",0
6,8,19,787,1,12,"1",10
2,9,19,787,1,12,"2",8
1,5,19,787,1,12,"3",6
7,15,19,787,1,12,"4",5
9,1,19,787,1,12,"5",4
3,2,19,787,1,12,"6",3
4,17,19,787,1,12,"7",2
11,4,19,787,1,12,"8",1
10,14,19,787,1,12,"9",0
5,18,19,787,1,12,"10",0
8,12,19,787,1,12,"11",0
6,21,19,787,11,12,"12",0
1,22,19,787,11,12,"13",0
2,3,19,787,11,12,"14",0
9,19,19,787,11,12,"15",0
11,11,19,787,12,12,"16",0
3,6,19,787,12,12,"17",0
7,20,19,787,5,12,"\N",0
10,13,19,787,20,12,"\N",0
8,16,19,787,9,12,"\N",0
4,10,19,787,4,12,"\N",0
5,7,19,787,20,12,"\N",0
6,8,19,787,1,13,"1",10
2,9,19,787,1,13,"2",8
1,5,19,787,1,13,"3",6
7,15,19,787,1,13,"4",5
9,1,19,787,1,13,"5",4
3,2,19,787,1,13,"6",3
4,17,19,787,1,13,"7",2
11,4,19,787,1,13,"8",1
10,14,19,787,1,13,"9",0
5,18,19,787,1,13,"10",0
8,12,19,787,1,13,"11",0
6,21,19,787,11,13,"12",0
1,22,19,787,11,13,"13",0
