"ID_CLASSIFICACAO_PILOTOS","ID_RESULTADOS","ID_PILOTO","PONTOS_PILOTO","POSICAO_PILOTO","VITORIAS_PILOTO"
57876,14446,222,32,1,2
57951,14447,212,0,39,0
57950,14448,261,0,38,0
57949,14449,235,0,27,0
57948,14450,119,0,23,0
57947,14451,260,0,37,0
57946,14452,259,0,32,0
57945,14453,232,0,33,0
57944,14454,229,0,22,0
57943,14455,211,0,30,0
57942,14456,208,0,31,0
57941,14457,258,0,24,0
57940,14458,178,3,13,0
57939,14459,205,0,26,0
57938,14460,197,1,16,0
57937,14461,257,0,36,0
57936,14462,233,2,14,0
57935,14463,239,0,25,0
57934,14464,256,0,29,0
57933,14465,255,13,5,1
57932,14466,254,1,18,0
57931,14467,246,0,21,0
57930,14468,182,31,2,1
57929,14469,253,0,20,0
57928,14470,238,4,11,0
57927,14471,200,8,8,0
57926,14472,231,9,6,0
57925,14473,221,7,9,0
57924,14474,172,0,19,0
57923,14475,237,0,35,0
57922,14476,187,1,17,0
57921,14477,252,0,34,0
57920,14478,251,0,28,0
57919,14479,230,3,12,0
57918,14480,223,1,15,0
57917,14481,207,22,4,2
57916,14482,224,8,7,0
57915,14483,199,23,3,1
57914,14484,250,6,10,0
57913,14485,222,32,1,2
57992,14486,263,0,41,0
57991,14487,262,0,24,0
57990,14488,212,0,39,0
57989,14489,261,0,40,0
57988,14490,235,0,28,0
57987,14491,119,0,23,0
57986,14492,260,0,38,0
57985,14493,259,0,32,0
57984,14494,232,0,34,0
57983,14495,229,0,22,0
57982,14496,211,0,30,0
57981,14497,208,0,33,0
57980,14498,258,0,26,0
57979,14499,178,3,14,0
57978,14500,205,0,27,0
57977,14501,197,1,18,0
57976,14502,257,0,37,0
57975,14503,233,2,16,0
57974,14504,239,0,25,0
57973,14505,256,0,31,0
57972,14506,255,13,6,1
57971,14507,254,1,19,0
57970,14508,246,0,21,0
57969,14509,182,31,2,1
57968,14510,253,0,20,0
57967,14511,238,4,12,0
57966,14512,200,14,5,0
57965,14513,231,9,9,0
57964,14514,221,10,7,0
57963,14515,172,9,8,1
57962,14516,237,0,36,0
57961,14517,187,3,15,0
57960,14518,252,0,35,0
57959,14519,251,0,29,0
57958,14520,230,3,13,0
57957,14521,223,1,17,0
57956,14522,207,23,4,2
57955,14523,224,8,10,0
57954,14524,199,27,3,1
57953,14525,250,6,11,0
57952,14526,222,32,1,2
58034,14527,175,0,40,0
58033,14528,263,0,42,0
58032,14529,262,0,24,0
58031,14530,212,0,38,0
58030,14531,261,0,41,0
58029,14532,235,0,29,0
58028,14533,119,0,23,0
58027,14534,260,0,39,0
58026,14535,259,0,32,0
58025,14536,232,0,34,0
58024,14537,229,0,22,0
58023,14538,211,0,26,0
58022,14539,208,0,33,0
58021,14540,258,0,27,0
58020,14541,178,3,15,0
58019,14542,205,0,28,0
58018,14543,197,1,18,0
58017,14544,257,0,37,0
58016,14545,233,2,16,0
58015,14546,239,0,25,0
58014,14547,256,0,31,0
58013,14548,255,16,5,1
58012,14549,254,1,19,0
58011,14550,246,0,21,0
58010,14551,182,33,1,1
58009,14552,253,0,20,0
58008,14553,238,4,13,0
58007,14554,200,14,6,0
58006,14555,231,13,7,0
58005,14556,221,10,8,0
58004,14557,172,9,9,1
58003,14558,237,0,36,0
58002,14559,187,9,10,0
58001,14560,252,0,35,0
58000,14561,251,0,30,0
57999,14562,230,3,14,0
57998,14563,223,1,17,0
57997,14564,207,32,2,3
57996,14565,224,8,11,0
57995,14566,199,28,4,1
57994,14567,250,6,12,0
57993,14568,222,32,3,2
58083,14569,266,0,49,0
58082,14570,245,0,48,0
58081,14571,265,0,47,0
58080,14572,264,0,46,0
58079,14573,219,0,40,0
58078,14574,267,0,33,0
58077,14575,203,0,31,0
58076,14576,175,0,41,0
58075,14577,263,0,45,0
58074,14578,262,0,24,0
58073,14579,212,0,42,0
58072,14580,261,0,44,0
58071,14581,235,0,29,0
58070,14582,119,0,23,0
58069,14583,260,0,43,0
58068,14584,259,0,34,0
58067,14585,232,0,36,0
58066,14586,229,0,22,0
58065,14587,211,0,27,0
58064,14588,208,0,35,0
58063,14589,258,0,25,0
58062,14590,178,3,16,0
58061,14591,205,0,28,0
58060,14592,197,1,18,0
58059,14593,257,0,39,0
58058,14594,233,4,14,0
58057,14595,239,0,26,0
58056,14596,256,0,32,0
58055,14597,255,20,6,1
58054,14598,254,1,19,0
